TDS (mg/l),Turbidity (NTU),pH,Depth (m),Flow Discharge (L/min),Filter Life Span (hours),Filter Efficiency (%)
430.365,0.176,7.665,4.628,1.817,4376.134,88.796
3.476,5.527,7.994,4.178,15.873,4371.718,90.217
255.374,5.784,7.52,2.76,60.816,4237.421,88.501
208.706,4.266,7.905,2.76,46.215,4404.456,89.862
111.054,0.723,7.122,0.54,16.447,4833.665,93.389
59.933,8.933,6.928,0.636,8.725,4435.12,91.944
168.808,6.114,8.058,3.858,6.576,4316.71,89.936
471.455,1.157,8.163,2.996,9.45,4504.197,90.295
161.601,5.109,6.345,3.924,10.512,4184.731,88.275
259.395,4.973,7.357,4.773,9.545,4160.902,88.005
351.509,0.604,7.709,2.536,6.453,4598.41,91.101
181.815,6.069,6.209,0.898,70.006,4296.75,89.088
485.891,8.083,8.324,3.32,94.185,3964.968,86.133
481.224,7.49,7.3,0.949,85.742,4148.548,87.875
125.891,2.03,7.614,3.296,27.32,4512.709,90.463
248.624,8.623,6.446,2.875,21.224,4059.172,87.966
150.439,3.425,6.661,3.705,5.743,4337.634,89.347
142.42,9.465,6.303,2.079,16.447,4144.96,89.125
18.443,0.717,6.66,1.147,57.209,4691.747,91.561
304.782,4.862,7.231,1.563,99.814,4271.68,88.177
251.34,5.971,8.084,3.576,86.044,4154.451,87.475
25.739,2.477,7.334,2.652,51.977,4527.607,90.499
139.323,7.714,6.611,2.934,42.922,4126.552,88.15
454.133,6.269,6.112,1.953,15.635,4144.022,88.165
119.781,0.181,7.555,4.265,42.441,4475.15,89.381
72.447,6.084,7.05,4.998,59.891,4045.095,86.677
244.726,4.915,8.461,1.905,59.952,4467.589,90.551
492.825,1.96,7.949,3.734,56.197,4264.725,87.673
121.028,9.957,8.021,1.27,82.578,4251.552,89.677
336.068,8.972,6.031,3.841,51.498,3799.353,85.17
380.81,2.925,7.944,2.439,47.812,4418.283,89.582
118.819,5.411,6.487,3.224,31.272,4233.778,88.648
364.108,3.165,7.464,1.569,18.844,4511.554,90.877
183.892,7.755,7.119,4.332,1.139,4096.638,88.281
316.153,9.303,7.429,1.28,32.888,4225.882,89.721
316.765,3.588,6.334,4.679,63.675,4000.342,85.443
267.887,8.056,7.142,0.776,56.331,4287.264,89.726
45.145,4.984,6.092,1.796,53.521,4350.826,89.468
417.651,3.966,6.102,3.033,77.465,4044.879,85.864
160.39,9.384,7.644,4.363,24.052,4030.614,87.881
93.259,5.104,8.379,3.097,68.175,4390.081,89.75
20.388,4.674,7.943,1.473,61.109,4580.979,91.601
295.446,6.724,7.173,4.366,34.56,4027.663,86.948
338.782,2.612,6.14,3.183,22.636,4250.415,88.061
8.294,3.248,6.113,1.546,56.706,4476.743,90.175
256.047,9.32,6.395,3.028,94.57,3853.458,85.385
113.248,6.785,8.44,3.539,8.559,4377.062,90.721
322.586,8.266,6.997,3.562,95.345,3878.125,85.308
87.183,2.711,8.109,3.758,47.011,4461.88,89.962
345.469,5.438,7.763,4.531,71.294,4035.985,86.278
193.368,9.714,7.514,4.212,80.517,3886.771,85.977
468.365,3.187,8.37,3.235,16.0,4387.959,89.676
68.76,1.605,6.576,0.645,5.451,4767.608,93.103
170.533,5.109,7.137,3.873,13.721,4258.286,88.978
56.737,3.878,8.162,4.887,34.754,4335.661,89.173
462.347,1.596,7.379,1.875,95.699,4348.076,88.002
438.67,8.886,6.616,3.231,5.235,3964.427,87.258
128.971,9.907,6.522,3.959,92.06,3812.362,85.175
329.992,5.686,7.882,3.376,56.568,4188.207,88.022
408.611,7.747,6.032,4.651,11.132,3824.143,85.454
277.6,8.59,8.285,2.63,16.122,4264.981,90.066
264.825,7.01,6.046,2.893,69.244,3993.882,86.349
120.926,0.442,7.577,0.672,61.237,4785.523,92.375
46.551,1.576,7.512,4.551,17.578,4458.838,89.886
448.608,0.71,7.446,1.68,90.529,4435.719,88.665
450.209,0.099,7.186,4.903,14.157,4269.937,87.587
316.551,3.06,8.131,1.409,51.646,4557.595,90.977
169.515,3.924,7.648,1.641,53.301,4513.24,90.776
174.605,2.41,7.955,2.681,87.18,4445.207,89.303
362.978,0.646,6.289,3.472,3.193,4361.478,88.777
448.555,5.299,6.125,2.483,14.509,4145.949,87.904
443.543,2.733,6.071,2.083,17.897,4304.589,88.687
389.938,7.96,6.368,2.93,7.225,4036.324,87.679
321.016,0.081,7.668,4.812,63.517,4293.95,87.328
42.07,8.425,7.235,4.829,23.73,4050.868,87.799
80.814,9.548,7.881,1.976,58.09,4256.478,89.848
449.277,7.161,6.479,3.561,78.479,3852.198,84.886
303.215,7.336,6.917,3.749,41.444,4015.562,86.942
4.599,9.336,8.221,3.44,77.116,4154.774,88.577
50.736,2.091,8.339,1.009,78.009,4747.153,92.319
331.751,9.946,8.304,2.928,27.079,4120.352,88.916
2.531,7.735,8.046,3.935,2.559,4317.99,90.475
80.404,7.266,7.721,1.404,11.225,4505.757,92.125
274.367,3.611,8.284,2.067,82.529,4438.939,89.647
345.948,5.458,7.785,1.417,41.125,4408.722,90.313
325.981,6.539,8.385,4.491,84.071,4031.276,86.434
112.135,6.203,6.062,4.363,55.204,3993.211,86.241
356.09,7.05,8.304,1.261,20.542,4432.648,91.236
118.625,0.824,7.389,3.922,71.511,4403.161,88.564
162.7,3.556,6.279,2.138,56.26,4342.465,88.929
373.246,4.34,6.537,3.588,35.829,4119.671,87.14
324.816,2.606,8.13,2.72,9.684,4528.933,90.974
424.612,1.726,7.265,2.624,11.128,4443.264,89.839
328.806,1.389,8.457,4.466,19.663,4425.934,89.479
284.154,3.664,6.294,3.366,67.62,4132.24,86.745
46.837,4.934,7.031,1.561,73.069,4430.752,90.057
183.858,0.63,6.83,0.998,63.461,4632.789,90.882
132.601,9.465,7.29,4.7,34.39,3950.692,87.002
121.995,7.652,7.584,1.19,44.607,4406.504,90.915
486.505,7.309,7.654,3.803,71.246,3933.902,85.819
196.549,1.729,6.003,2.731,66.326,4309.836,87.954
446.023,6.038,6.222,1.13,77.528,4129.242,87.329
315.569,5.297,6.088,3.995,24.873,4036.879,86.709
397.406,9.825,8.161,4.57,1.444,3966.306,87.596
251.319,7.477,6.783,1.047,27.378,4319.394,90.163
288.452,5.758,6.918,0.802,35.441,4408.586,90.459
246.259,8.508,7.126,4.324,96.091,3839.443,84.986
97.621,1.551,8.123,2.754,22.555,4665.428,91.894
361.226,0.152,6.035,3.535,82.814,4196.151,86.179
140.386,6.902,6.297,2.487,62.629,4140.421,87.849
12.158,0.983,7.713,2.356,17.586,4745.291,92.572
322.736,1.154,8.41,1.848,40.947,4655.148,91.488
88.555,7.447,7.607,3.033,51.506,4237.749,89.096
470.229,2.705,6.653,1.219,35.071,4402.844,89.489
476.964,6.286,7.3,3.728,23.389,4057.637,87.228
457.432,9.174,8.437,2.972,26.032,4107.018,88.562
185.079,3.165,7.32,4.314,58.935,4231.987,87.68
7.728,2.171,6.934,4.645,69.122,4278.239,87.743
464.159,1.066,6.959,4.553,47.428,4160.375,86.449
214.092,1.305,8.418,3.206,94.232,4460.464,89.054
483.327,0.622,7.797,1.934,73.128,4467.267,89.128
481.81,0.876,7.718,2.107,89.284,4397.773,88.348
426.505,4.32,6.58,3.436,48.091,4088.936,86.704
147.224,3.209,7.399,3.704,2.473,4430.494,90.243
192.549,7.066,6.892,1.226,59.615,4297.823,89.502
425.568,8.702,6.601,4.991,82.008,3649.053,83.281
158.461,7.848,8.239,0.984,54.117,4445.661,91.27
84.746,5.306,6.958,3.232,57.222,4250.461,88.524
278.401,1.024,6.707,2.89,97.522,4296.271,87.295
468.077,7.098,8.329,3.159,37.248,4153.567,88.292
348.015,3.628,6.493,2.902,80.385,4142.95,86.714
285.031,0.857,7.864,0.761,51.002,4722.971,91.977
48.588,8.425,7.632,4.982,46.907,4025.678,87.315
307.504,3.382,8.301,4.916,15.412,4284.862,88.709
495.027,2.182,8.08,2.86,75.091,4315.233,88.056
70.042,8.715,7.763,1.438,82.506,4296.807,89.757
259.165,9.021,6.786,1.323,43.657,4178.356,89.053
438.687,3.39,7.239,0.757,76.59,4406.213,89.313
370.384,3.548,8.361,3.253,58.531,4331.133,88.79
348.508,5.796,6.058,2.652,26.498,4123.53,87.709
351.242,7.334,7.986,2.373,92.448,4134.005,87.616
179.746,0.631,6.63,2.863,69.98,4415.198,88.642
146.796,5.933,6.463,4.428,87.955,3957.49,85.475
404.681,9.528,6.581,0.818,28.865,4139.752,88.967
405.057,2.621,6.149,2.948,91.72,4103.082,85.9
433.536,9.088,8.48,3.655,37.102,4037.152,87.727
456.62,9.502,8.175,4.868,1.944,3923.376,87.065
255.671,2.692,7.303,3.829,8.428,4368.134,89.405
250.758,7.542,7.788,2.967,9.845,4259.955,89.764
399.148,2.388,7.391,3.95,21.507,4282.127,88.323
324.982,7.376,8.029,4.987,19.466,4033.991,87.358
350.983,7.974,8.112,4.499,6.732,4073.596,88.061
397.896,2.472,6.582,0.901,89.644,4366.266,88.508
445.003,7.159,7.149,3.087,83.003,3959.823,85.916
168.998,8.121,7.587,4.039,76.52,4011.209,86.783
187.791,3.586,8.446,3.523,48.434,4422.213,89.814
46.991,1.677,7.707,2.376,43.09,4639.511,91.467
289.14,0.92,8.244,1.951,43.111,4652.534,91.37
17.971,5.754,8.115,3.322,26.915,4428.869,90.746
232.799,9.781,7.455,2.356,61.218,4082.066,88.143
271.322,8.23,8.234,2.264,6.849,4336.181,90.762
143.271,4.358,6.944,4.265,66.22,4145.827,87.104
295.417,5.366,6.948,1.92,51.872,4283.013,88.921
15.25,2.795,7.952,3.402,81.836,4443.966,89.46
18.674,1.631,6.336,4.43,97.301,4205.118,86.567
411.3,4.821,6.765,3.298,87.784,4024.399,85.812
180.095,4.635,7.521,2.718,72.272,4314.045,88.808
63.53,5.219,7.05,0.659,43.846,4558.709,91.714
261.122,9.528,8.352,3.567,22.238,4127.034,88.906
384.997,6.039,8.396,4.989,66.822,4012.649,86.27
107.911,6.058,7.256,4.138,20.958,4213.094,88.739
311.445,1.28,7.348,3.355,3.006,4473.509,90.089
42.674,9.965,7.812,2.611,57.75,4184.96,89.262
25.841,7.728,7.143,1.509,40.019,4383.99,90.758
265.677,8.772,6.475,3.614,87.726,3839.183,85.146
270.318,4.143,7.867,1.298,64.932,4484.783,90.441
318.715,5.021,7.844,4.492,65.078,4094.698,86.803
363.046,5.221,6.612,2.093,79.001,4151.383,87.29
487.926,1.941,8.082,2.299,34.23,4468.851,89.929
258.15,6.895,7.534,1.472,95.859,4240.656,88.516
161.478,9.03,6.591,2.667,22.911,4114.278,88.623
397.593,1.637,7.63,3.562,87.296,4251.563,87.134
135.416,0.863,6.584,1.863,91.173,4478.938,89.137
219.486,7.382,6.663,3.658,4.865,4111.899,88.285
39.228,2.732,8.12,3.293,63.55,4499.425,90.178
12.675,6.239,8.324,2.176,75.193,4446.144,90.581
481.324,6.958,6.642,1.908,95.429,3994.059,86.074
417.99,3.219,8.32,4.376,25.887,4272.691,88.434
347.987,8.151,6.597,0.554,56.623,4209.517,88.974
204.476,5.5,6.293,3.722,77.539,4024.849,86.123
86.647,8.69,6.146,2.378,15.687,4167.594,89.126
78.219,7.633,6.605,3.73,85.445,3995.921,86.395
125.121,8.686,6.963,2.784,40.96,4139.162,88.588
274.613,0.202,8.319,0.877,64.335,4768.092,92.098
357.298,2.435,6.605,4.919,5.162,4157.89,87.258
330.099,0.9,6.914,0.887,23.071,4646.451,91.504
139.967,4.421,7.835,1.213,48.34,4574.538,91.588
477.433,8.9,6.755,2.392,29.632,3993.408,87.308
368.948,4.675,7.711,4.751,95.826,3986.114,85.305
277.177,8.497,7.08,1.819,79.698,4103.295,87.785
305.86,3.272,6.491,3.059,86.623,4153.448,86.65
209.8,3.396,7.835,2.846,47.165,4429.852,89.846
123.865,8.956,6.068,1.986,47.891,4102.699,88.235
177.986,4.258,6.731,3.633,80.714,4146.405,86.934
378.923,7.898,6.89,2.757,39.366,4050.312,87.479
7.197,2.366,7.146,3.102,48.604,4485.197,90.076
58.036,9.488,7.7,1.446,53.33,4315.318,90.466
23.001,5.746,7.149,4.669,61.109,4126.897,87.382
20.364,7.593,7.486,0.998,65.347,4428.286,90.907
427.73,0.895,7.489,3.606,68.394,4292.912,87.514
351.829,4.927,6.933,4.487,44.957,4032.504,86.353
237.087,9.01,8.335,0.878,30.22,4416.182,91.563
48.917,8.77,8.39,0.629,92.095,4428.857,90.999
245.808,0.468,7.455,1.999,82.845,4533.542,89.647
236.736,3.037,6.179,4.055,1.34,4239.548,88.293
86.601,4.433,7.228,3.728,51.779,4281.448,88.627
216.926,1.723,6.461,4.2,28.186,4275.167,87.987
199.252,7.3,7.208,2.289,64.63,4198.044,88.524
307.925,1.845,6.471,4.972,50.761,4102.188,86.068
317.547,3.466,7.76,2.147,3.095,4522.932,91.238
22.652,6.633,6.201,4.124,73.049,4018.62,86.446
187.306,4.821,8.383,2.079,28.263,4539.239,91.556
312.93,7.386,6.488,1.483,26.763,4221.267,89.161
251.568,9.612,7.652,2.015,4.161,4248.954,90.332
428.245,1.165,8.292,1.367,83.005,4554.129,90.061
329.347,7.096,6.62,1.081,58.305,4217.804,88.724
81.467,2.303,8.336,2.138,48.999,4665.886,91.86
35.284,4.145,6.972,1.161,67.905,4520.42,90.769
321.21,0.329,8.401,2.76,35.192,4616.665,90.913
13.256,1.359,8.428,0.659,57.378,4887.568,93.71
292.888,3.198,6.47,2.441,25.678,4345.234,89.155
470.115,3.42,8.078,4.811,7.233,4206.154,88.015
287.737,8.996,6.484,2.115,56.573,4030.068,87.434
194.085,7.418,6.566,1.119,22.898,4330.927,90.306
321.644,9.722,6.21,1.873,75.254,3936.271,86.527
229.126,5.991,6.391,4.061,45.732,4027.495,86.615
272.808,2.417,7.581,1.911,25.789,4558.068,91.048
470.732,3.277,7.123,2.226,61.226,4268.094,88.052
193.051,3.198,7.977,4.05,12.545,4411.248,89.947
480.595,3.265,6.83,1.673,76.381,4259.44,87.81
452.675,6.73,8.422,2.652,45.766,4222.574,88.787
97.896,5.308,6.125,0.784,81.452,4356.787,89.346
34.681,3.854,6.157,1.283,14.672,4548.007,91.49
50.389,1.491,7.753,1.443,38.872,4753.61,92.595
9.111,0.221,8.219,2.586,18.823,4810.002,92.978
47.221,2.188,7.989,4.194,7.058,4532.289,90.909
341.503,1.075,7.225,2.095,95.579,4397.278,88.339
35.594,7.854,6.674,2.212,72.938,4189.795,88.525
159.488,1.125,6.034,1.855,33.235,4515.448,90.16
422.438,7.242,7.274,1.942,25.369,4209.071,89.01
11.636,3.857,7.189,2.316,21.228,4546.229,91.407
407.234,0.734,6.861,4.547,5.258,4280.508,87.973
140.927,8.127,7.445,0.61,11.164,4484.392,92.17
59.082,5.796,7.822,3.311,11.188,4409.408,90.721
348.369,2.358,7.752,4.495,66.96,4199.779,87.035
314.471,8.947,6.658,2.376,59.876,4003.853,87.124
438.736,0.453,7.463,3.429,57.251,4346.915,88.032
367.536,2.018,6.372,3.136,73.712,4191.521,86.784
401.74,7.52,6.304,2.024,25.866,4099.39,87.991
141.017,7.094,7.965,1.118,34.905,4489.618,91.675
88.72,2.893,7.734,1.488,13.543,4708.526,92.818
375.307,0.62,7.92,0.759,59.183,4679.099,91.385
403.417,8.581,6.381,3.941,93.358,3726.525,83.906
495.253,3.137,8.287,2.898,86.451,4261.515,87.692
206.309,1.957,6.333,4.035,55.945,4216.842,87.196
186.009,5.161,8.175,1.806,64.816,4456.253,90.463
388.206,9.102,6.881,4.121,99.239,3728.298,84.021
170.402,0.435,6.264,1.891,52.218,4525.806,89.867
465.379,7.658,6.717,1.046,87.188,4077.124,87.197
429.206,5.725,6.454,2.902,50.565,4053.177,86.744
214.497,4.254,7.227,4.754,5.739,4215.833,88.377
375.436,7.441,8.374,2.365,93.531,4154.138,87.838
377.271,9.658,6.82,2.819,12.076,4004.343,87.82
51.562,2.292,7.53,2.531,70.715,4518.131,90.162
451.276,1.436,8.229,2.558,24.558,4520.507,90.39
252.626,9.129,7.575,1.465,90.203,4147.899,88.316
413.229,6.69,6.905,2.401,20.848,4167.645,88.475
160.025,4.38,8.477,2.736,14.867,4545.364,91.619
447.762,5.733,6.469,3.852,44.433,3962.291,85.898
194.601,7.456,7.308,1.129,50.171,4347.44,90.21
5.419,7.73,7.992,3.072,82.074,4238.577,88.884
452.691,9.199,6.002,3.48,76.478,3712.927,84.124
45.643,4.268,7.755,2.223,33.499,4550.014,91.446
159.657,2.934,6.666,2.971,39.11,4364.747,89.137
475.031,6.397,6.424,3.698,58.09,3899.069,85.329
475.304,4.157,6.685,2.593,55.606,4152.525,87.216
286.719,5.946,8.417,2.0,86.343,4328.352,89.204
315.919,4.2,8.23,4.211,47.775,4238.365,88.166
224.223,1.53,6.534,4.95,89.457,4090.947,85.474
146.605,4.694,6.293,1.475,21.302,4431.15,90.507
164.332,6.909,6.91,4.502,86.895,3939.396,85.598
336.259,7.993,7.481,2.954,31.125,4122.62,88.313
376.187,4.933,8.168,2.516,79.137,4272.191,88.411
395.79,1.652,8.415,4.519,56.973,4295.139,87.877
394.809,4.147,7.878,4.597,87.681,4048.026,85.848
45.603,7.863,7.498,1.727,23.894,4413.32,91.253
247.21,4.129,6.356,2.113,70.448,4253.384,88.068
28.779,6.965,6.185,4.334,85.047,3952.392,85.763
274.764,5.072,7.49,2.709,77.892,4231.362,88.056
220.765,2.412,7.348,1.796,57.034,4510.091,90.254
443.852,7.962,8.115,4.83,67.865,3872.813,85.438
175.458,0.842,6.807,1.477,20.455,4662.238,91.67
58.534,5.249,6.099,3.247,22.43,4248.699,88.837
71.496,2.089,7.059,2.426,27.462,4568.248,91.035
380.755,0.671,8.423,2.531,82.973,4499.353,89.365
309.109,5.029,7.989,0.977,17.577,4560.025,91.933
50.561,4.996,6.084,1.657,30.593,4406.482,90.258
42.053,7.069,8.187,1.251,92.123,4434.798,90.547
350.485,7.448,7.179,3.873,75.768,3931.437,85.791
36.382,7.278,6.912,3.64,73.579,4097.962,87.427
410.93,4.096,6.867,4.073,46.059,4076.976,86.538
353.121,6.317,7.488,3.647,70.534,4050.645,86.696
40.674,5.769,7.326,1.079,57.007,4501.906,91.18
42.419,4.216,7.642,4.904,8.075,4325.65,89.44
493.32,5.972,7.434,1.348,58.076,4247.159,88.682
187.135,9.472,6.36,2.077,45.772,4069.547,88.079
185.321,1.929,6.643,3.681,12.282,4382.542,89.281
406.4,9.058,8.103,1.132,35.082,4270.805,90.075
473.624,0.535,7.658,1.267,89.585,4496.377,89.228
493.001,3.084,7.121,4.445,80.567,4005.813,85.178
376.689,2.881,6.457,1.994,91.476,4230.874,87.258
188.13,6.264,6.019,3.495,71.991,4001.181,86.171
41.75,1.312,6.78,4.364,63.623,4327.802,88.035
388.573,8.823,6.137,4.879,14.785,3760.742,85.107
279.202,8.286,7.206,1.446,11.614,4298.838,90.358
212.111,6.521,8.055,1.053,25.429,4517.187,91.874
453.177,4.584,6.713,3.833,32.106,4068.011,86.734
55.599,9.33,8.119,1.347,61.097,4360.777,90.796
246.313,8.307,7.761,3.111,87.854,4050.819,87.122
5.677,4.993,6.313,2.897,89.182,4210.765,87.714
234.33,7.019,7.611,3.02,68.553,4153.967,87.96
28.152,5.669,6.379,3.424,57.817,4182.337,87.946
59.409,5.879,7.637,4.329,25.194,4256.732,89.079
58.763,3.31,6.357,1.723,93.857,4380.778,88.862
324.605,4.621,6.981,2.999,67.44,4170.043,87.412
373.022,0.781,7.416,2.015,53.812,4506.944,89.766
291.684,3.573,6.126,1.934,11.292,4372.063,89.68
481.086,6.958,6.383,0.592,82.762,4125.156,87.511
187.435,9.532,6.801,3.197,35.55,4018.945,87.694
142.856,9.631,7.156,4.876,90.158,3794.676,84.934
434.3,5.557,8.146,3.926,17.673,4191.699,88.407
111.798,6.066,6.468,1.593,5.811,4416.729,90.929
481.611,1.857,6.869,3.723,44.038,4192.869,87.045
6.077,6.953,7.189,1.838,8.752,4466.96,91.668
484.939,0.707,6.739,3.891,7.118,4292.766,88.068
21.58,2.847,7.564,4.347,71.659,4325.266,88.39
445.572,6.684,6.642,2.004,26.48,4153.775,88.278
263.851,3.103,7.931,0.51,64.246,4626.531,91.554
496.482,0.498,7.263,1.873,57.512,4450.841,89.083
36.898,8.319,6.216,1.426,14.935,4314.687,90.493
276.927,3.103,7.567,3.284,39.192,4356.36,89.103
